node,algorithm,operation,message_size,time_ms,energy_joule
B,AES,encrypt,IMAGE,8192,0.06539997411891818,0.0003269998705945909
A,AES,decrypt,IMAGE,8224,0.10760000441223383,0.0005380000220611691
B,AES,encrypt,IMAGE,8192,0.07289997301995754,0.0003644998650997877
A,AES,decrypt,IMAGE,8224,0.1430999836884439,0.0007154999184422195

B,AES,encrypt,IMAGE,8192,0.06480002775788307,0.00032400013878941536
A,AES,decrypt,IMAGE,8224,0.1088999561034143,0.0005444997805170715
B,AES,encrypt,IMAGE,8192,0.06639998173341155,0.00033199990866705775
A,AES,decrypt,IMAGE,8224,0.06940000457689166,0.0003470000228844583
B,AES,encrypt,IMAGE,8192,0.05520001286640763,0.00027600006433203816
A,AES,decrypt,IMAGE,8224,0.10679999832063913,0.0005339999916031957
A,AES,decrypt,IMAGE,8224,0.07310003275051713,0.00036550016375258565
B,AES,encrypt,IMAGE,8192,0.07269997149705887,0.00036349985748529434
A,AES,decrypt,IMAGE,8224,0.06980000762268901,0.00034900003811344504
B,AES,encrypt,IMAGE,8192,0.11030002497136593,0.0005515001248568296
A,AES,decrypt,IMAGE,8224,0.07869995897635818,0.0003934997948817909
B,AES,encrypt,IMAGE,8192,0.06130000110715628,0.0003065000055357814
A,AES,decrypt,IMAGE,8224,0.07619999814778566,0.0003809999907389283
B,AES,encrypt,IMAGE,8192,0.06400002166628838,0.0003200001083314419
A,AES,decrypt,IMAGE,8224,0.07050001295283437,0.00035250006476417184
B,AES,encrypt,IMAGE,8192,0.06009999196976423,0.00030049995984882116
A,AES,decrypt,IMAGE,8224,0.06779999239370227,0.00033899996196851134
B,AES,encrypt,IMAGE,8192,0.05570001667365432,0.0002785000833682716
A,AES,decrypt,IMAGE,8224,0.059999991208314896,0.0002999999560415745
B,AES,encrypt,IMAGE,8192,0.04769995575770736,0.0002384997787885368
A,AES,decrypt,IMAGE,8224,0.09649997809901834,0.0004824998904950917
B,AES,encrypt,IMAGE,8192,0.050200033001601696,0.0002510001650080085
A,AES,decrypt,IMAGE,8224,0.08679996244609356,0.0004339998122304678
B,AES,encrypt,IMAGE,8192,0.050900038331747055,0.0002545001916587353
B,AES,encrypt,IMAGE,8192,0.07720000576227903,0.00038600002881139517
B,AES,encrypt,IMAGE,8192,0.10760000441223383,0.0005380000220611691

A,AES,decrypt,IMAGE,8224,0.09300000965595245,0.00046500004827976227
B,AES,encrypt,IMAGE,8192,0.07800001185387373,0.00039000005926936865
A,AES,decrypt,IMAGE,8224,0.12280000373721123,0.0006140000186860561
